"Arbeidsledighet",,,,,
,,,,,
,,,,,
"Variabler i filter",,,,,
"Alder, 15-29 år",,,,,
"andel (prosent)",,,,,
,,,,,
"År","2009","2010","2011","2012","2013"
"Geografi","aar2009","aar2010","aar2011","aar2012","aar2013"
"Bardu",1.7,1.8,1.3,1.4,1.1
"Salangen",2.8,2.7,1.8,2.2,2.2
"Målselv",1.8,1.5,1.5,1.6,1.7
"Sørreisa",2.2,2.7,2.6,2.4,2.5
"Dyrøy",2.4,2.8,2.8,3.4,2.5
"Tranøy",2.6,2,1.2,1.2,1.3
"Torsken",3,3.4,4.2,3.2,4
"Berg",2.2,3.7,3.2,3.2,4.8
"Lenvik",2.3,2.3,2,1.5,1.8
"Balsfjord",3.1,2.6,2.6,1.9,2.7
"Karlsøy",4.4,2.9,3.1,3.6,3.6
"Lyngen",2.5,2.9,2.4,1.9,1.8
"Storfjord",1.9,2.1,1.8,2.9,3.7
"Gáivuotna Kåfjord",3.8,3.8,3.5,3.5,2.8
"Skjervøy",4.6,4.2,3.4,2.7,2.8
"Nordreisa",3.2,2.4,2.6,2.8,3.4
"Kvænangen",3.4,2.9,2.3,3.2,3.1
"Vardø",7.2,6.2,5,5.7,5
"Vadsø",2.5,2.3,2.5,2.5,2.6
"Hammerfest",3.3,3.1,2.6,2.1,2.8
"Guovdageaidnu Kautokeino",6.2,5.1,5.4,5.1,5
"Alta",3.2,3.1,3,2.9,2.6
"Loppa",1.9,1.2,2.2,2.1,4.3
"Hasvik",5.4,4.4,2.8,2.6,4.6
"Kvalsund",3.9,2.4,2.3,2.9,2
"Måsøy",3.3,2.4,3.9,4.4,4.4
"Nordkapp",3.2,3.4,3.7,3.4,4.1
"Porsanger Porsángu Porsanki",3.5,2.8,2.7,2.4,1.8
"Kárásjohka Karasjok",4.4,4,3,2.8,4.5
"Lebesby",4.3,4.2,3.6,3.3,3.8
"Gamvik",3.9,4.8,4.8,4.8,5.7
"Berlevåg",4.2,6.2,3.4,3.9,4.8
"Deatnu Tana",3.4,4.1,2.7,2.9,3.7
"Unjárga Nesseby",2,2,3.1,2.6,2.6
"Båtsfjord",3.9,4.6,4.6,5.1,7.1
"Sør-Varanger",2,2.2,1.6,1.8,2.2
